Date,Code,Description,Unit of Measure,Value
1999/03,KBP6008D,Final consumption expenditure by general government,R millions,345433
1999/04,KBP6008D,Final consumption expenditure by general government,R millions,348865
2000/01,KBP6008D,Final consumption expenditure by general government,R millions,350966
2000/02,KBP6008D,Final consumption expenditure by general government,R millions,353178
2000/03,KBP6008D,Final consumption expenditure by general government,R millions,355731
2000/04,KBP6008D,Final consumption expenditure by general government,R millions,358226
2001/01,KBP6008D,Final consumption expenditure by general government,R millions,360830
2001/02,KBP6008D,Final consumption expenditure by general government,R millions,363796
2001/03,KBP6008D,Final consumption expenditure by general government,R millions,367209
2001/04,KBP6008D,Final consumption expenditure by general government,R millions,370543
2002/01,KBP6008D,Final consumption expenditure by general government,R millions,374840
2002/02,KBP6008D,Final consumption expenditure by general government,R millions,379535
2002/03,KBP6008D,Final consumption expenditure by general government,R millions,384779
2002/04,KBP6008D,Final consumption expenditure by general government,R millions,390074
2003/01,KBP6008D,Final consumption expenditure by general government,R millions,395738
2003/02,KBP6008D,Final consumption expenditure by general government,R millions,401090
2003/03,KBP6008D,Final consumption expenditure by general government,R millions,406465
2003/04,KBP6008D,Final consumption expenditure by general government,R millions,412398
2004/01,KBP6008D,Final consumption expenditure by general government,R millions,417296
2004/02,KBP6008D,Final consumption expenditure by general government,R millions,422470
2004/03,KBP6008D,Final consumption expenditure by general government,R millions,427649
2004/04,KBP6008D,Final consumption expenditure by general government,R millions,432893
2005/01,KBP6008D,Final consumption expenditure by general government,R millions,436999
2005/02,KBP6008D,Final consumption expenditure by general government,R millions,442981
2005/03,KBP6008D,Final consumption expenditure by general government,R millions,449146
2005/04,KBP6008D,Final consumption expenditure by general government,R millions,458698
2006/01,KBP6008D,Final consumption expenditure by general government,R millions,466944
2006/02,KBP6008D,Final consumption expenditure by general government,R millions,467183
2006/03,KBP6008D,Final consumption expenditure by general government,R millions,470169
2006/04,KBP6008D,Final consumption expenditure by general government,R millions,470772
2007/01,KBP6008D,Final consumption expenditure by general government,R millions,476246
2007/02,KBP6008D,Final consumption expenditure by general government,R millions,483302
2007/03,KBP6008D,Final consumption expenditure by general government,R millions,492145
2007/04,KBP6008D,Final consumption expenditure by general government,R millions,498951
2008/01,KBP6008D,Final consumption expenditure by general government,R millions,509314
2008/02,KBP6008D,Final consumption expenditure by general government,R millions,512708
2008/03,KBP6008D,Final consumption expenditure by general government,R millions,518405
2008/04,KBP6008D,Final consumption expenditure by general government,R millions,523281
2009/01,KBP6008D,Final consumption expenditure by general government,R millions,530082
2009/02,KBP6008D,Final consumption expenditure by general government,R millions,537090
2009/03,KBP6008D,Final consumption expenditure by general government,R millions,545204
2009/04,KBP6008D,Final consumption expenditure by general government,R millions,547232
2010/01,KBP6008D,Final consumption expenditure by general government,R millions,549563
2010/02,KBP6008D,Final consumption expenditure by general government,R millions,553161
2010/03,KBP6008D,Final consumption expenditure by general government,R millions,558269
2010/04,KBP6008D,Final consumption expenditure by general government,R millions,562656
2011/01,KBP6008D,Final consumption expenditure by general government,R millions,567995
2011/02,KBP6008D,Final consumption expenditure by general government,R millions,568631
2011/03,KBP6008D,Final consumption expenditure by general government,R millions,572604
2011/04,KBP6008D,Final consumption expenditure by general government,R millions,575886
2012/01,KBP6008D,Final consumption expenditure by general government,R millions,581690
2012/02,KBP6008D,Final consumption expenditure by general government,R millions,592216
2012/03,KBP6008D,Final consumption expenditure by general government,R millions,594089
2012/04,KBP6008D,Final consumption expenditure by general government,R millions,597105
2013/01,KBP6008D,Final consumption expenditure by general government,R millions,601702
2013/02,KBP6008D,Final consumption expenditure by general government,R millions,611278
2013/03,KBP6008D,Final consumption expenditure by general government,R millions,610849
2013/04,KBP6008D,Final consumption expenditure by general government,R millions,613702
2014/01,KBP6008D,Final consumption expenditure by general government,R millions,616941
2014/02,KBP6008D,Final consumption expenditure by general government,R millions,620840
2014/03,KBP6008D,Final consumption expenditure by general government,R millions,619994
2014/04,KBP6008D,Final consumption expenditure by general government,R millions,620950
2015/01,KBP6008D,Final consumption expenditure by general government,R millions,609473
2015/02,KBP6008D,Final consumption expenditure by general government,R millions,613038
2015/03,KBP6008D,Final consumption expenditure by general government,R millions,616167
2015/04,KBP6008D,Final consumption expenditure by general government,R millions,621150
2016/01,KBP6008D,Final consumption expenditure by general government,R millions,626754
2016/02,KBP6008D,Final consumption expenditure by general government,R millions,629898
2016/03,KBP6008D,Final consumption expenditure by general government,R millions,627827
2016/04,KBP6008D,Final consumption expenditure by general government,R millions,629258
2017/01,KBP6008D,Final consumption expenditure by general government,R millions,628022
2017/02,KBP6008D,Final consumption expenditure by general government,R millions,629226
2017/03,KBP6008D,Final consumption expenditure by general government,R millions,630371
2017/04,KBP6008D,Final consumption expenditure by general government,R millions,631230
2018/01,KBP6008D,Final consumption expenditure by general government,R millions,638417
2018/02,KBP6008D,Final consumption expenditure by general government,R millions,641756
2018/03,KBP6008D,Final consumption expenditure by general government,R millions,642430
2018/04,KBP6008D,Final consumption expenditure by general government,R millions,643445
2019/01,KBP6008D,Final consumption expenditure by general government,R millions,646877
2019/02,KBP6008D,Final consumption expenditure by general government,R millions,651125
2019/03,KBP6008D,Final consumption expenditure by general government,R millions,653345
2019/04,KBP6008D,Final consumption expenditure by general government,R millions,653065
2020/01,KBP6008D,Final consumption expenditure by general government,R millions,656056
2020/02,KBP6008D,Final consumption expenditure by general government,R millions,652542
2020/03,KBP6008D,Final consumption expenditure by general government,R millions,653777
2020/04,KBP6008D,Final consumption expenditure by general government,R millions,655551
