Date,Code,Description,Unit of Measure,Value
1996/01,KBP6006D,Gross domestic product at market prices,R millions,1738318
1996/02,KBP6006D,Gross domestic product at market prices,R millions,1770877
1996/03,KBP6006D,Gross domestic product at market prices,R millions,1790973
1996/04,KBP6006D,Gross domestic product at market prices,R millions,1807959
1997/01,KBP6006D,Gross domestic product at market prices,R millions,1813153
1997/02,KBP6006D,Gross domestic product at market prices,R millions,1824244
1997/03,KBP6006D,Gross domestic product at market prices,R millions,1828055
1997/04,KBP6006D,Gross domestic product at market prices,R millions,1830815
1998/01,KBP6006D,Gross domestic product at market prices,R millions,1833129
1998/02,KBP6006D,Gross domestic product at market prices,R millions,1835721
1998/03,KBP6006D,Gross domestic product at market prices,R millions,1831698
1998/04,KBP6006D,Gross domestic product at market prices,R millions,1833468
1999/01,KBP6006D,Gross domestic product at market prices,R millions,1850328
1999/02,KBP6006D,Gross domestic product at market prices,R millions,1865054
1999/03,KBP6006D,Gross domestic product at market prices,R millions,1885423
1999/04,KBP6006D,Gross domestic product at market prices,R millions,1906156
2000/01,KBP6006D,Gross domestic product at market prices,R millions,1927597
2000/02,KBP6006D,Gross domestic product at market prices,R millions,1945333
2000/03,KBP6006D,Gross domestic product at market prices,R millions,1964599
2000/04,KBP6006D,Gross domestic product at market prices,R millions,1981313
2001/01,KBP6006D,Gross domestic product at market prices,R millions,1994180
2001/02,KBP6006D,Gross domestic product at market prices,R millions,2004149
2001/03,KBP6006D,Gross domestic product at market prices,R millions,2009472
2001/04,KBP6006D,Gross domestic product at market prices,R millions,2024922
2002/01,KBP6006D,Gross domestic product at market prices,R millions,2051198
2002/02,KBP6006D,Gross domestic product at market prices,R millions,2076037
2002/03,KBP6006D,Gross domestic product at market prices,R millions,2093066
2002/04,KBP6006D,Gross domestic product at market prices,R millions,2107049
2003/01,KBP6006D,Gross domestic product at market prices,R millions,2126547
2003/02,KBP6006D,Gross domestic product at market prices,R millions,2136932
2003/03,KBP6006D,Gross domestic product at market prices,R millions,2148528
2003/04,KBP6006D,Gross domestic product at market prices,R millions,2160922
2004/01,KBP6006D,Gross domestic product at market prices,R millions,2193636
2004/02,KBP6006D,Gross domestic product at market prices,R millions,2224290
2004/03,KBP6006D,Gross domestic product at market prices,R millions,2260660
2004/04,KBP6006D,Gross domestic product at market prices,R millions,2284801
2005/01,KBP6006D,Gross domestic product at market prices,R millions,2308029
2005/02,KBP6006D,Gross domestic product at market prices,R millions,2349448
2005/03,KBP6006D,Gross domestic product at market prices,R millions,2381486
2005/04,KBP6006D,Gross domestic product at market prices,R millions,2397433
2006/01,KBP6006D,Gross domestic product at market prices,R millions,2439551
2006/02,KBP6006D,Gross domestic product at market prices,R millions,2474200
2006/03,KBP6006D,Gross domestic product at market prices,R millions,2508372
2006/04,KBP6006D,Gross domestic product at market prices,R millions,2543057
2007/01,KBP6006D,Gross domestic product at market prices,R millions,2584351
2007/02,KBP6006D,Gross domestic product at market prices,R millions,2605530
2007/03,KBP6006D,Gross domestic product at market prices,R millions,2636065
2007/04,KBP6006D,Gross domestic product at market prices,R millions,2673414
2008/01,KBP6006D,Gross domestic product at market prices,R millions,2684648
2008/02,KBP6006D,Gross domestic product at market prices,R millions,2717424
2008/03,KBP6006D,Gross domestic product at market prices,R millions,2723918
2008/04,KBP6006D,Gross domestic product at market prices,R millions,2708410
2009/01,KBP6006D,Gross domestic product at market prices,R millions,2666281
2009/02,KBP6006D,Gross domestic product at market prices,R millions,2657131
2009/03,KBP6006D,Gross domestic product at market prices,R millions,2663293
2009/04,KBP6006D,Gross domestic product at market prices,R millions,2681051
2010/01,KBP6006D,Gross domestic product at market prices,R millions,2711577
2010/02,KBP6006D,Gross domestic product at market prices,R millions,2730077
2010/03,KBP6006D,Gross domestic product at market prices,R millions,2760428
2010/04,KBP6006D,Gross domestic product at market prices,R millions,2789950
2011/01,KBP6006D,Gross domestic product at market prices,R millions,2816474
2011/02,KBP6006D,Gross domestic product at market prices,R millions,2832667
2011/03,KBP6006D,Gross domestic product at market prices,R millions,2841114
2011/04,KBP6006D,Gross domestic product at market prices,R millions,2862777
2012/01,KBP6006D,Gross domestic product at market prices,R millions,2874224
2012/02,KBP6006D,Gross domestic product at market prices,R millions,2900027
2012/03,KBP6006D,Gross domestic product at market prices,R millions,2908700
2012/04,KBP6006D,Gross domestic product at market prices,R millions,2921353
2013/01,KBP6006D,Gross domestic product at market prices,R millions,2933459
2013/02,KBP6006D,Gross domestic product at market prices,R millions,2964554
2013/03,KBP6006D,Gross domestic product at market prices,R millions,2978165
2013/04,KBP6006D,Gross domestic product at market prices,R millions,3016523
2014/01,KBP6006D,Gross domestic product at market prices,R millions,3004756
2014/02,KBP6006D,Gross domestic product at market prices,R millions,3012093
2014/03,KBP6006D,Gross domestic product at market prices,R millions,3031295
2014/04,KBP6006D,Gross domestic product at market prices,R millions,3064215
2015/01,KBP6006D,Gross domestic product at market prices,R millions,3077246
2015/02,KBP6006D,Gross domestic product at market prices,R millions,3059055
2015/03,KBP6006D,Gross domestic product at market prices,R millions,3058748
2015/04,KBP6006D,Gross domestic product at market prices,R millions,3061901
2016/01,KBP6006D,Gross domestic product at market prices,R millions,3054386
2016/02,KBP6006D,Gross domestic product at market prices,R millions,3078482
2016/03,KBP6006D,Gross domestic product at market prices,R millions,3085353
2016/04,KBP6006D,Gross domestic product at market prices,R millions,3087641
2017/01,KBP6006D,Gross domestic product at market prices,R millions,3085655
2017/02,KBP6006D,Gross domestic product at market prices,R millions,3108212
2017/03,KBP6006D,Gross domestic product at market prices,R millions,3129728
2017/04,KBP6006D,Gross domestic product at market prices,R millions,3156342
2018/01,KBP6006D,Gross domestic product at market prices,R millions,3134781
2018/02,KBP6006D,Gross domestic product at market prices,R millions,3130669
2018/03,KBP6006D,Gross domestic product at market prices,R millions,3150986
2018/04,KBP6006D,Gross domestic product at market prices,R millions,3161721
2019/01,KBP6006D,Gross domestic product at market prices,R millions,3136302
2019/02,KBP6006D,Gross domestic product at market prices,R millions,3161917
2019/03,KBP6006D,Gross domestic product at market prices,R millions,3155290
2019/04,KBP6006D,Gross domestic product at market prices,R millions,3143840
2020/01,KBP6006D,Gross domestic product at market prices,R millions,3129987
2020/02,KBP6006D,Gross domestic product at market prices,R millions,2609585
2020/03,KBP6006D,Gross domestic product at market prices,R millions,2967862
2020/04,KBP6006D,Gross domestic product at market prices,R millions,3013189
